畧畑[MASK]傳西銘, 䀡
畧畑䀡[MASK]西銘, 傳
唭人[MASK]喓, 情
[MASK]人情喓, 唭
[MASK]匕匕麻, 埃
埃[MASK]匕麻, 匕
噒役畧苓[MASK], 身
噒役[MASK]苓身, 畧
辰[MASK]孝頭, 忠
[MASK]忠孝頭, 辰
辰節行[MASK]捞, 句
辰節[MASK]句捞, 行
固扵[MASK]東城, 郡
[MASK]扵郡東城, 固
修仁積生昆[MASK], 䝨
修仁[MASK]生昆䝨, 積
達陸雲[MASK], 仙
達[MASK]雲仙, 陸
[MASK]糁芸專斈行, 歲
歲糁芸[MASK]斈行, 專
[MASK]柴史經, 蹺
蹺柴史[MASK], 經
㝵包功[MASK]劳刀, 程
[MASK]包功程劳刀, 㝵
文它起鳳[MASK]雲, 滕
文它起[MASK]滕雲, 鳳
武[MASK]叁畧六韜埃[MASK],皮 添
[MASK]会科詩, 䀡
䀡会[MASK]詩, 科
雲仙謝尊[MASK], 師
雲[MASK]謝尊師, 仙
閉圣預[MASK], 掑
閉圣[MASK]掑, 預
㐌[MASK]氣象吏吹精[MASK],神 鮮
它及[MASK]風雲, 会
它[MASK]会風雲, 及
匕埃[MASK]立身貝尼, 拱
匕埃拱立身貝[MASK], 尼
名碎㐌㗂[MASK]屯賖, 柴
[MASK]碎㐌㗂柴屯賖, 名
畧卢報補顕[MASK], 荣
畧卢報[MASK]顕荣, 補
尊師[MASK]意論盘, 欺
[MASK]師欺意論盘, 尊
係科[MASK]群賖, 塲
係[MASK]塲群賖, 科
吹柴傷[MASK]㤕車, 伵
[MASK]柴傷伵㤕車, 吹
油訴浽[MASK]冲, 濁
油[MASK]浽濁冲, 訴
[MASK]朱法底防身, 沛
沛朱法底防[MASK], 身
柴朱道[MASK]神蹺, 符
柴朱[MASK]符神蹺, 道
滝供[MASK]安, 拱
滝供拱[MASK], 安
尊師准[MASK]堂, 後
尊師准後[MASK], 堂
雲仙魚謹[MASK]生, 強
雲仙魚[MASK]強生, 謹
咍嗼役[MASK], 之
咍[MASK]役之, 嗼
師科期[MASK]賖, 群
[MASK]科期群賖, 師
闭飭[MASK]書, 詩
闭[MASK]詩書, 飭
会[MASK]及群除会芇, 尼
会尼[MASK]群除会芇, 及
盛衰[MASK]牢, 別
盛衰別[MASK], 牢
之[MASK]哙吏理芇朱[MASK],朋 明
䜹朱[MASK]事情, 訢
[MASK]朱訢事情, 䜹
丕淡登程[MASK]安, 買
丕淡登[MASK]買安, 程
尊師[MASK]咀嘆, 唉
尊師唉咀[MASK], 嘆
畧按払[MASK], 阻
[MASK]按払阻, 畧
哙[MASK]萬里程途, 浪
[MASK]浪萬里程途, 哙
昆渚拮[MASK]群之, 挭
昆[MASK]拮挭群之, 渚
咍昆唉[MASK], 胡
[MASK]昆唉胡, 咍
柴盘科期[MASK]賖, 群
柴[MASK]科期群賖, 盘
云仙呐連[MASK], 䜹
云仙[MASK]連䜹, 呐
小生庄別湄[MASK], 芇
小生[MASK]別湄芇, 庄
[MASK]萱歲鶴㐌高, 椿
椿萱歲鶴[MASK]高, 㐌
[MASK]柴排訢音毛[MASK]詳,朱 吀
尊師[MASK]添傷, 呐
尊[MASK]呐添傷, 師
準前[MASK]䀡, 堂
[MASK]前堂䀡, 準
因机謀[MASK]浪, 事
因[MASK]謀事浪, 机
雖浪㵢泣尼[MASK], 匕
[MASK]浪㵢泣尼匕, 雖
欺欺[MASK]欺潙欺苔, 訢
欺欺訢[MASK]潙欺苔, 欺
呂柴沛唎[MASK]之, 爫
呂[MASK]沛唎爫之, 柴
[MASK]星㐌紫微添和, 斗
斗星㐌紫微添[MASK], 和
嫌爲馭唉群[MASK], 賖
[MASK]爲馭唉群賖, 嫌
兎它[MASK]俸它散, 路
兎它路[MASK]它散, 俸
包[MASK]朱細北方, 徐
包徐[MASK]細北方, 朱
包徐﨤塘[MASK], 名
包[MASK]﨤塘名, 徐
油鄧[MASK]荣, 顕
油[MASK]顕荣, 鄧
唎柴呐[MASK]程差, 前
唎柴呐前[MASK]差, 程
汝勾否極[MASK]來, 泰
汝勾[MASK]極泰來, 否
朱援埃[MASK], 潺
朱援[MASK]潺, 埃
雲[MASK]倍且謝恩, 仙
雲仙倍且[MASK]恩, 謝
吀亘膠[MASK], 山
[MASK]亘膠山, 吀
[MASK]吏尼圣堂, 匕
匕[MASK]尼圣堂, 吏
[MASK]浪天各一方, 嘆
嘆浪[MASK]各一方, 天
柴[MASK]段慘伵王[MASK]愁,段 王
管包解[MASK], 油
管包[MASK]油, 解
[MASK]帶子[MASK]掛瓢刘泠,芒 路
㝵芇[MASK]渃及縁, 亇
㝵芇亇渃及[MASK], 縁
朗名昆討匪[MASK]碎, 願
朗名昆[MASK]匪願碎, 討
計自昔淡[MASK], 細
計[MASK]昔淡細, 自
[MASK]迷倂㐌[MASK]迡衝霜,闭 痗
[MASK]風景添傷, 兑
兑[MASK]景添傷, 風
為匕淡[MASK]裊塘群[MASK],賖 娄
丿兜㐌細[MASK]家, 隣
丿兜㐌細隣[MASK], 家
畧[MASK]伴蹎, 探
畧探伴[MASK], 蹎
仙浪[MASK]注拱昆, 各
仙[MASK]各注拱昆, 浪
之急足[MASK]匕, 奔
之急[MASK]奔匕, 足
民浪小子[MASK], 昆
民[MASK]小子昆, 浪
[MASK]屡山蹺些, 咍
咍[MASK]山蹺些, 屡
仙浪拠[MASK]爫牢, 事
仙[MASK]拠事爫牢, 浪
吀[MASK]㐌仕, 柴
吀柴㐌[MASK], 仕
民㗂[MASK]請台, 呐
民[MASK]呐請台, 㗂
呌蹺吏分[MASK], 戈
呌蹺吏[MASK]戈, 分
䜹[MASK]固党娄, 浪
[MASK]浪固党娄, 䜹
杜預号[MASK]來, 風
杜預[MASK]風來, 号
饒扵准[MASK], 山
[MASK]扵准山, 饒
[MASK]奴固才坤當, 調
調[MASK]固才坤當, 奴
悲徐[MASK]本鄕, 都
悲徐都本[MASK], 鄕
昆[MASK]戈塘扒, 卒
昆卒戈塘[MASK], 扒
[MASK]敢呐之, 廊
廊敢呐[MASK], 之
感傷婍女[MASK]縸, 兒
感傷[MASK]女兒縸, 婍
昆埃䏧[MASK]鐄, 玉
昆埃䏧玉[MASK], 鐄
桃眉容顔[MASK]㳥, 冷
[MASK]眉容顔冷㳥, 桃
欺及党行[MASK], 凶
[MASK]及党行凶, 欺
枉[MASK]淑女生匹夫, 荘
枉荘淑女[MASK]匹夫, 生
崔[MASK]渚呵呐, 匕
崔匕渚呵[MASK], 呐
朱塊矯敺[MASK], 細
朱塊矯[MASK]細, 敺
雲仙浽[MASK]雷霆, 陣
雲[MASK]浽陣雷霆, 仙
哙[MASK]屡奴群[MASK]尼芇,仃 探
碎吀飭[MASK]豪, 英
碎[MASK]飭英豪, 吀
枚朱塊[MASK]刀貝尼, 劳
枚朱[MASK]劳刀貝尼, 塊
