翁阮瓊於廊[MASK]域縂[MASK]光,安 慈
縣弘[MASK]省清化,化
縣弘化省[MASK]化,清
桎爫旗蓮爫[MASK],㳥
桎爫旗[MASK]爫㳥,蓮
麻[MASK]固性輕,吏
麻吏固[MASK]輕,性
辰些迻[MASK]悲䀡[MASK]朋丐蒲,眾 頭
翁[MASK]保眾悲強祝,瓊
翁瓊保眾悲強[MASK],祝
耒騷[MASK]䀡,迻
耒[MASK]迻䀡,騷
底[MASK]針焒朱䀡翁[MASK],頭 蚤
只[MASK]於吏僱,侈
只侈於[MASK]僱,吏
箕眾悲壁[MASK],䀡
[MASK]眾悲壁䀡,箕
翁頭㐌[MASK],帝
[MASK]頭㐌帝,翁
[MASK]俸瓊於壁,只
只俸瓊於[MASK],壁
頭如[MASK]蒲寔,丐
頭如丐蒲[MASK],寔
辰翁意[MASK],嗃
辰翁[MASK]嗃,意
吏茹固魯爫客[MASK],冬
吏茹固魯[MASK]客冬,爫
拱固腰[MASK],撟
拱固[MASK]撟,腰
旦[MASK]瓊保浪,豹
旦豹[MASK]保浪,瓊
騷朱[MASK]対,勾
騷朱勾[MASK],対
対特辰騷[MASK],他
対特[MASK]騷他,辰
艮咹[MASK]巽,粓
艮[MASK]粓巽,咹
㹥坤哏[MASK],乾
㹥坤[MASK]乾,哏
[MASK]秀吏勾女浪,翁
翁秀吏[MASK]女浪,勾
生[MASK]秀吉,翁
[MASK]翁秀吉,生
瓊吏[MASK]應口浪,対
[MASK]吏対應口浪,瓊
翁秀[MASK]丐截秩,沛
翁[MASK]沛丐截秩,秀
旦官司天䀡[MASK]文,天
旦官司[MASK]䀡天文,天
[MASK]分省清固,地
地分省清[MASK],固
聀[MASK]省意固才,浪
聀浪省意[MASK]才,固
仍空别於廊[MASK],芇
仍[MASK]别於廊芇,空
固[MASK]奏浪,員
[MASK]員奏浪,固
[MASK]交朱省臣[MASK]化飭朱轄每廊[MASK]進昆羝特,清 沛 吀
限空特[MASK]治罪,辰
限[MASK]特辰治罪,空
翁親[MASK]瓊吏強欣,生
翁親生瓊[MASK]強欣,吏
茹盘[MASK]怨恨茹[MASK]事苦巾,仍 吧
瓊[MASK]劍買,布
瓊布[MASK]買,劍
[MASK]固役之煩,柴
柴[MASK]役之煩,固
翁布當[MASK],愊
[MASK]布當愊,翁
役廊[MASK]渃,役
[MASK]廊役渃,役
瓊布空呐[MASK]定朱,一
瓊布空[MASK]一定朱,呐
翁布[MASK]計寔朱,沛
翁[MASK]沛計寔朱,布
茹扒[MASK]渚扒納拱[MASK],固 納
底摸空[MASK]辰罪[MASK]奇廊,朱 特
些此[MASK]牢,䀡
些[MASK]䀡牢,此
爫詞甘[MASK],結
爫[MASK]甘結,詞
旦尼瓊呐[MASK]布羅䀡芾[MASK]制鋪,買 御
車馭官[MASK]赤,軍
車[MASK]官軍赤,馭
瓊連哭[MASK],呱
[MASK]連哭呱,瓊
疎翁碎冬車馭[MASK],撤
疎翁碎冬[MASK]馭撤,車
爫牢[MASK]哭,眉
[MASK]牢眉哭,爫
[MASK]翁媄碎㐌,疎
疎翁媄[MASK]㐌,碎
牢買空[MASK]碎底[MASK]揞,布 㛪
[MASK]翁芇吏,弹
弹翁芇[MASK],吏
疎翁[MASK]耒碎飭[MASK]特,羝 買
[MASK]想羝特辰[MASK]碎拱特,布 碎
吧[MASK]官弼唭,各
吧各官弼[MASK],唭
赦朱民[MASK]空沛納[MASK]女,廊 羝
麻浽㗂狀自[MASK],芇
麻[MASK]㗂狀自芇,浽
