[MASK]分善端,爫
爫分善[MASK],端
小節新刊[MASK],停
[MASK]節新刊停,小
初楊[MASK]刘平,礼
初楊礼[MASK]平,刘
拱饒交吏[MASK]芝蘭,茄
拱饒交[MASK]茄芝蘭,吏
撻床徐子幔董[MASK],公
撻[MASK]徐子幔董公,床
堆册終[MASK],畑
[MASK]册終畑,堆
[MASK]聖傳䝨,經
經[MASK]傳䝨,聖
都饒捽玉[MASK]鐄,燶
[MASK]饒捽玉燶鐄,都
欺[MASK]韻賦欺盘藝[MASK],文 招
[MASK]饒草聖詩神,都
都饒草聖[MASK]神,詩
别[MASK]畑焒功程,包
别包畑[MASK]功程,焒
文人[MASK]子賖,士
文人士[MASK]賖,子
摺招桂月花[MASK]才,都
摺招桂月[MASK]都才,花
功[MASK]埃几讓埃,名
功名埃几[MASK]埃,讓
払[MASK]脱㐌三魁榜[MASK],楊 鐄
本歴涉吏[MASK]風光,茄
本歴涉吏茄[MASK]光,風
[MASK]朋友怒鄉粦,箕
箕朋友怒鄉[MASK],粦
宦[MASK]吝堛髙,階
[MASK]階吝堛髙,宦
[MASK]㤙坦别包,隊
隊[MASK]坦别包,㤙
福[MASK]禄渃洡奇,茄
福茄[MASK]渃洡奇,禄
[MASK]忠孝堛英才,念
念忠孝堛[MASK]才,英
祖廕[MASK]科名,浽
祖[MASK]浽科名,廕
身[MASK]㐌仃,荣
身荣[MASK]仃,㐌
想故友晚[MASK]麻傷,成
[MASK]故友晚成麻傷,想
払刘[MASK]鏖場,自
払[MASK]自鏖場,刘
題扵榜鐄[MASK]埃,仍
題扵榜鐄仍[MASK],埃
傕辰[MASK]麻之,闷
傕辰闷麻[MASK],之
史經温吏朱[MASK],漏
史經[MASK]吏朱漏,温
傷台仍堛[MASK]花,才
傷台[MASK]堛才花,仍
基圖䝉[MASK]江山[MASK]臣,正 買
塵間窒堛清[MASK],貧
塵[MASK]窒堛清貧,間
浪冲畑册專勤[MASK],之
浪冲畑册專[MASK]之,勤
伴[MASK]故知,友
伴友[MASK]知,故
[MASK]勾貧賎之交,㐌
㐌勾貧賎之[MASK],交
賖擬[MASK]頭,歇
