[MASK]春夜天清雲静,節
節春夜天清雲[MASK],静
准旅庭聀[MASK]更,醒
[MASK]旅庭聀醒更,准
吟句[MASK]月度昂,問
吟[MASK]問月度昂,句
縁故特清[MASK],台
縁[MASK]特清台,故
月浪[MASK]移,物
[MASK]浪物移,月
姨月固[MASK]細,塘
[MASK]月固塘細,姨
月浪[MASK]吏些,些
月浪些[MASK]些,吏
固丹桂姉[MASK],㛪
固丹[MASK]姉㛪,桂
箕玉兔[MASK]簾水晶,怒
箕玉[MASK]怒簾水晶,兔
姨月固情[MASK]些,庒
姨月[MASK]情庒些,固
渚年[MASK]倣㐌羕包,花
渚年花倣㐌羕[MASK],包
月浪要[MASK]疎桃,柳
月[MASK]要柳疎桃,浪
強強[MASK]高強,強
強[MASK]強高強,強
姨月[MASK]娥,姮
姨月姮[MASK],娥
冥冥長[MASK]埃吏别[MASK],夜 埃
别[MASK]岩險别邪奸,尼
别尼岩[MASK]别邪奸,險
[MASK]呐強月,月
月呐[MASK]月,強
别些[MASK]月咍庒,固
别些固月[MASK]庒,咍
結縁[MASK]特娥[MASK]買他,朱 姮
别饒[MASK]固更點從,只
[MASK]饒只固更點從,别
月拱㦖[MASK]吏,嚈
月拱㦖嚈[MASK],吏
局䀡似[MASK]包,占
局䀡似占[MASK],包
公侯卿相[MASK]哰,噋
公侯卿相噋[MASK],哰
挣為[MASK]銅,唏
挣為唏[MASK],銅
月吏君[MASK],子
[MASK]吏君子,月
雲雷[MASK]經綸,堆
雲雷堆[MASK]綸,經
些㐌固聖[MASK],神
些㐌固[MASK]神,聖
撥乱身[MASK]平,致
撥乱身致[MASK],平
群坊逐利貪[MASK],名
[MASK]坊逐利貪名,群
月吏[MASK]儒仉,棱
月[MASK]棱儒仉,吏
[MASK]些疎矧矧疎,月
月些疎[MASK]矧疎,矧
[MASK]強演月強高,更
更強演[MASK]強高,月
月[MASK]些月别[MASK]饒情,包 些
[MASK]吟准旅庭,句
句吟准[MASK]庭,旅
固埃别月别[MASK]庒,咍
固埃[MASK]月别咍庒,别
