潘佩[MASK]小史,珠
潘佩珠[MASK]史,小
翁圭[MASK]廊丹[MASK]縣南省乂安,染 於
杜[MASK]科場乂更子,首
杜首[MASK]場乂更子,科
期第一曰[MASK]治,兼
期第一[MASK]兼治,曰
翁自欺固志改[MASK],革
[MASK]自欺固志改革,翁
辛丑翁招集[MASK]同志[MASK]圖局[MASK]対政治,伴 反 謀
爫卷琉[MASK]血淚書朱[MASK]朝臣穷各名士底[MASK]動愛,鼓 球 各
[MASK]圻交各名人[MASK]北如,外 北
具督定[MASK]翁秀昌[MASK]提探[MASK]不得志,耒 仍 宅
穷翁具[MASK]組織[MASK]革,道 党
[MASK]辰外國,甲
甲辰[MASK]國,外
潮卅廣東[MASK]刘永[MASK],福 於
[MASK]越南於边[MASK]爫党,艚 喻
[MASK]艚組[MASK]越南光復,㑹 穷
耒吏[MASK]俄,德
耒吏德[MASK],俄
会同提[MASK]結案苦差終[MASK],身 刑
特[MASK]全權令㤙赦,官
特官全權[MASK]㤙赦,令
蹺亞拉伯吧非[MASK]津故飭学行底塘文明辰法[MASK]朱自[MASK],律 仕 治
卷[MASK]造少年南越[MASK]方法固呐仍調進歩政府[MASK]㐌朱渃南,法 之 創
吏[MASK]曰卷法[MASK]提政見書,固 越
欺㑹同提刑処罰翁[MASK]差終[MASK],身 苦
國民[MASK]飭運動朱翁[MASK]他,故 特
翁会[MASK]会中[MASK]相済固朱[MASK]全權幅電信,官 長 圻
[MASK]㜥接特電信官全權[MASK]如尼,者 㑹
官全權東[MASK]答吏翁[MASK]進講会長会中圻相[MASK],黃 法 済
官[MASK]權細河内,全
官全[MASK]細河内,權
曰朋[MASK]仍低[MASK]囯語如尼,西 譯
拱[MASK]幅曰仍[MASK]頌官全權,祝 嵩
[MASK]吏扒翁学生,翁
翁吏扒[MASK]学生,翁
功役各翁[MASK]耒拱固[MASK]效,成 爫
欺車[MASK]全權頭庯,官
[MASK]車官全權頭庯,欺
各[MASK]教穷女生同[MASK]信府全[MASK]吀㤙赦朱翁潘,權 姑 電
仍所電报[MASK]空,吏
仍所電报吏[MASK],空
双自官西[MASK],保
双自官[MASK]保,西
老潘[MASK]珠㐌被[MASK]吀官朱[MASK]奇漢,佩 扒 扒
双買員知縣聀浪仕固[MASK]蘇官两慮辰[MASK]腮呢[MASK]女浪,嫩 功 頭
吀[MASK]畑炤依眾及[MASK]除截偻逆,悲 翁
呐買官使[MASK]轉,沛
呐買官使沛[MASK],轉
聀浪節西[MASK]拱特[MASK]北斗佩星,刀 低
呐查拠送耒解[MASK],省
呐[MASK]拠送耒解省,查
[MASK]悲辰[MASK]爫柴伵朱[MASK]陪行粓西,扒 注 耒
民眾碎[MASK]浪排仕透官全[MASK],權 約
[MASK]救朱翁[MASK]脱奴隸,㤙 潘
敬呈官全權[MASK]朱,透
敬呈[MASK]全權透朱,官
