Nom Text,Latin Translation
埃 喂 傷 𥙩 饒 穷,ai ơi thương lấy nhau cùng
台 篤 志 𠬠 𢚸 徐 埃,hay giốc chí một lòng chờ ai
𨕭 頭 畧 㩫 簮 掑,trên đầu lược giắt trâm cài
𥪝 𠀧 𨑮 𦒹 傳 英 攝 固 𨱽 𫨩 空,trong ba mươi sáu chuyện anh xếp có dài hay không
台 𦖑 傳 李 公,hay nghe truyện lý công
欺 𢧚 𡗶 拱 朝 𢚸 奇 𠄩,khi nên trời cũng chiều lòng cả hai
台 𦖑 傳 秀 才,hay nghe truyện tú tài
題 𠸜 𡭉 鵲 縁 𡗶 𦓡 𢧚,đề tên bắn thước duyên trời mà nên
台 𦖑 傳 秀 淵,hay nghe truyện tú uyên
𠫾 𨔈 麻 吏 﨤 仙 結 願,đi chơi mà lại gặp tiên kết nguyền
台 𦖑 傳 張 員,hay nghe truyện trương viên
𥙩 𡥵 丞 相 縁 庄,lấy con thừa tướng duyên chăng
宋 珍 麻 𥙩 菊 花,tống trân mà lấy cúc hoa
沛 𨖅 使 事 交 和 𨑮 冬,phai sang sứ sự giao hoà mười đông
台 𦖑 傳 劉 洪,hay nghe truyện lưu hồng
𥙩 陳 廣 珥 𫷜 空 庄,lấy trần quảng nhĩ năm không chăng
台 𦖑 傳 點 知,hay nghe truyện điểm tri
於 渃 齊 於 渃 梁,ở nước tề ở nước lương
主 韜 不 義 堆 塘,chúa thao bất nghĩa đòi đường
扒 𡥵 補 朱 停,bắt con bỏ cho đành
買 𠳒 教 訓 丁 丁,mấy lời giáo huấn đinh đinh
傳 尼 女 則 家 庭 恨 灰,chuyện này nữ tắc gia đình hẳn hoi
傳 尼 貞 鼠 摄 制,chuyện này trinh thử xếp chơi
桃 蘭 挂 蕙 堆 庄,đào lan quế huệ đôi chăng
台 𦖑 傳 度 梅,hay nghe truyện độ mai
几 忠 𠊚 佞 固 𡗶 於 𥪝,kẻ trung người nịnh có trời ở trong
傳 翹 計 㐌 属 𢚸,truyện kiều kể đã thuộc lòng
𢧚 庄 辰 拱 在 𢚸 媄 吒,nên chăng thì cũng tại lòng mẹ cha
台 𦖑 傳 𧊉 花,hay nghe truyện bướm hoa
𠬠 花 𠬠 𧊉 乙 堆,một hoa một bướm ắt đôi
阮 生 傳 意 䀡 制,nguyễn sinh chuyện ấy xem chơi
𠫾 𫥨 習 學 縁 𡗶 吹 𢧚,đi ra tập học duyên trời xui nên
西 楊 傳 意 此 䀡,tây dương chuyện ấy thử xem
珠 竜 餒 伴 朱 𢧚 𠊛,châu long nuôi bạn cho nên người
買 台 𡽫 渃 車 𣾺,mới hay non nước xa khơi
中 軍 傳 意 仍 𠳒 𢖵,trung quân chuyện ấy những lời nhớ
箋 花 傳 意 𨔍 𨓡,tiên hoa chuyện ấy lạ lùng
局 棋 堆 妸 𦟐 紅 打 制,cuộc cờ đôi ả má hồng đánh chơi
皇 儲 傳 意 天 才,hoàng trừ chuyện ấy thiên tài
詐 形 爫 𡛔 此 𠳒 端 荘,trá hình làm gái thử lời đoan trang
征 婦 傳 意 朱 詳,chinh phụ chuyện ấy cho tường
旗 毛 𨕭 塘 沚,cờ mao lên đường trẩy
觀 音 傳 意 欺 𫢩,quan âm chuyện ấy khi nay
氏 牟 抌 覩 冤 尼 庒 他,thị mầu đem đổ oan này chẳng tha
潘 陳 傳 意 䀡 戈,phan trần chuyện ấy xem qua
几 簮 𠊚 𦑗 乙 堆,kẻ trâm người quạt ắt đôi
翁 寧 傳 意 此 𥋳,ông ninh chuyện ấy thử coi
揲 安 𦊚 𡎝 麻 𡗶 𡊰 功,giẹp yên bốn cõi mà trời đền công
秦 宮 傳 𦟐 紅,tần cung chuyện má hồng
愊 命 㦖 踏 房 麻 𫥨,bực mình muốn đạp phòng mà ra
九 夫 傳 意 䀡 戈,cửu phu chuyện ấy xem qua
别 包 𣉹 特 室 家 如 𠊚,biết bao giờ được thất gia như người
蓬 萊 傳 意 䀡 制,bồng lai chuyện ấy xem chơi
准 仙 𢝙 趣 結 縁 買 命,chốn tiên vui thú kết duyên mấy mình
台 𦖑 傳 花 情,hay nghe truyện hoa tình
𤊰 縁 秦 晋 矯 命 約 𬇚,bén duyên tần tấn kẻo mình ước ao
玉 𫅜 群 待 價 高,ngọc lành còn đợi giá cao
女 芇 咹 槾 者 桃 𠇍 埃,nỡ nào ăn mận giả đào mấy ai
有 薊 傳 拱 才,hữu ké chuyện cũng tài
謀 謨 麻 𥙩 特 𠊚 𡥵 官,mưu mô mà lấy được người con quan
春 情 傳 𧘇 論 盘,xuân tình chuyện ấy luận bàn
𣎀 𦣰 思 想 事 娘 𠬠 𠄩,đêm nằm tư tưởng sự nàng một hai
芙 蓉 傳 意 𦘧 撝,phù dung chuyện ấy vẽ vời
